No.,County,Positive,Fatalities
59.0,Harris,1106,13
31.0,Dallas,921,17
132.0,Travis,430,4
127.0,Tarrant,383,7
8.0,Bexar,342,9
34.0,Denton,273,6
25.0,Collin,256,2
45.0,Fort Bend,255,2
91.0,Lubbock,138,4
48.0,Galveston,136,0
11.0,Brazoria,136,1
102.0,Montgomery,130,3
39.0,El Paso,96,0
64.0,Hidalgo,86,0
143.0,Webb,83,5
12.0,Brazos,72,5
147.0,Williamson,71,1
18.0,Cameron,62,0
124.0,Smith,57,1
7.0,Bell,51,1
97.0,McLennan,50,1
108.0,Nueces,47,0
61.0,Hays,47,0
145.0,Wichita,46,0
95.0,Matagorda,33,2
139.0,Victoria,32,0
40.0,Ellis,29,2
73.0,Jefferson,29,0
56.0,Guadalupe,26,0
116.0,Randall,24,0
115.0,Potter,24,0
128.0,Taylor,23,0
99.0,Midland,22,1
38.0,Ector,22,0
75.0,Johnson,21,1
27.0,Comal,18,2
10.0,Bowie,17,1
142.0,Washington,17,0
131.0,Tom Green,17,0
105.0,Nacogdoches,15,2
58.0,Hardin,14,1
54.0,Gregg,13,0
110.0,Orange,12,0
53.0,Grayson,12,0
119.0,Rusk,11,0
118.0,Rockwall,11,0
123.0,Shelby,11,0
22.0,Chambers,11,0
44.0,Fayette,10,0
77.0,Kaufman,10,0
21.0,Castro,10,1
3.0,Angelina,10,0
67.0,Hood,9,1
144.0,Wharton,9,0
78.0,Kendall,9,0
141.0,Waller,8,0
69.0,Hunt,8,0
17.0,Calhoun,8,0
140.0,Walker,8,0
114.0,Polk,7,0
66.0,Hockley,7,1
41.0,Erath,7,1
6.0,Bastrop,7,0
103.0,Moore,6,0
148.0,Wilson,6,0
113.0,Parker,6,0
35.0,DeWitt,6,0
57.0,Hale,6,0
125.0,Starr,5,0
87.0,Liberty,5,0
81.0,Lamar,5,0
60.0,Harrison,5,1
36.0,Donley,5,0
23.0,Cherokee,5,0
106.0,Navarro,5,1
52.0,Gray,5,0
137.0,Val Verde,5,0
146.0,Willacy,5,0
65.0,Hill,5,0
33.0,Deaf Smith,5,0
129.0,Terry,4,0
96.0,Maverick,4,0
112.0,Panola,4,1
29.0,Coryell,4,0
122.0,San Patricio,4,0
20.0,Cass,4,0
120.0,San Augustine,4,1
5.0,Austin,4,0
136.0,Uvalde,4,0
15.0,Burnet,4,0
13.0,Brown,4,0
138.0,Van Zandt,4,1
98.0,Medina,3,0
151.0,Young,3,0
92.0,Lynn,3,0
90.0,Llano,3,0
89.0,Live Oak,3,0
88.0,Limestone,3,1
71.0,Jackson,3,0
68.0,Hopkins,3,0
135.0,Upshur,3,0
37.0,Eastland,3,0
32.0,Dawson,3,0
16.0,Caldwell,3,0
149.0,Wise,3,0
55.0,Grimes,3,0
117.0,Robertson,2,0
133.0,Trinity,2,0
76.0,Karnes,2,0
109.0,Oldham,2,1
80.0,Kleberg,2,0
4.0,Atascosa,2,0
9.0,Blanco,2,0
14.0,Burleson,2,0
26.0,Colorado,2,0
30.0,Crane,2,0
43.0,Fannin,2,0
49.0,Gillespie,2,0
72.0,Jasper,2,0
74.0,Jim Wells,2,0
79.0,Kerr,2,0
70.0,Hutchinson,2,0
86.0,Leon,2,0
84.0,Lavaca,2,0
85.0,Lee,2,0
100.0,Milam,2,0
46.0,Franklin,1,0
150.0,Wood,1,0
107.0,Newton,1,0
104.0,Morris,1,0
101.0,Montague,1,0
19.0,Camp,1,0
24.0,Clay,1,0
28.0,Comanche,1,0
94.0,Mason,1,0
42.0,Falls,1,0
93.0,Martin,1,0
82.0,Lamb,1,0
47.0,Gaines,1,0
83.0,Lampasas,1,0
50.0,Goliad,1,0
51.0,Gonzales,1,0
134.0,Tyler,1,0
62.0,Hemphill,1,0
63.0,Henderson,1,0
111.0,Palo Pinto,1,0
130.0,Titus,1,0
2.0,Andrews,1,0
126.0,Swisher,1,0
121.0,San Jacinto,1,0
1.0,Anderson,1,0
